California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,58.1,0.7
198112,59.3,1.9
198212,56.3,-1.1
198312,57.6,0.2
198412,58.2,0.8
198512,57.3,-0.1
198612,58.9,1.5
198712,58.3,0.9
198812,58.8,1.4
198912,58.1,0.7
199012,58.0,0.6
199112,58.1,0.7
199212,59.3,1.9
199312,57.7,0.3
199412,58.0,0.6
199512,58.9,1.5
199612,59.6,2.2
199712,59.1,1.7
199812,56.7,-0.7
199912,58.0,0.6
200012,58.8,1.4
200112,59.1,1.7
200212,58.8,1.4
200312,59.4,2.0
200412,58.9,1.5
200512,58.6,1.2
200612,58.6,1.2
200712,58.9,1.5
200812,58.9,1.5
200912,58.8,1.4
201012,57.7,0.3
201112,57.4,0.0
201212,59.5,2.1
201312,59.3,1.9
201412,61.4,4.0
201512,60.8,3.4
201612,60.1,2.7
201712,60.3,2.9
201812,60.1,2.7
