Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,55.1,1.0
198112,55.7,1.6
198212,53.0,-1.1
198312,53.2,-0.9
198412,54.0,-0.1
198512,52.5,-1.6
198612,56.2,2.1
198712,55.4,1.3
198812,54.7,0.6
198912,53.1,-1.0
199012,55.5,1.4
199112,55.7,1.6
199212,54.2,0.1
199312,51.9,-2.2
199412,54.9,0.8
199512,53.9,-0.2
199612,53.1,-1.0
199712,53.7,-0.4
199812,56.3,2.2
199912,56.0,1.9
200012,55.5,1.4
200112,55.9,1.8
200212,55.2,1.1
200312,55.0,0.9
200412,55.1,1.0
200512,55.9,1.8
200612,56.9,2.8
200712,55.1,1.0
200812,53.6,-0.5
200912,53.6,-0.5
201012,55.3,1.2
201112,55.2,1.1
201212,58.2,4.1
201312,53.7,-0.4
201412,53.7,-0.4
201512,56.3,2.2
201612,57.2,3.1
201712,56.5,2.4
201812,54.6,0.5
