Delaware, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,54.1,-0.1
198112,53.6,-0.6
198212,54.0,-0.2
198312,54.9,0.7
198412,54.7,0.5
198512,55.3,1.1
198612,55.1,0.9
198712,54.9,0.7
198812,54.1,-0.1
198912,54.2,0.0
199012,57.2,3.0
199112,56.9,2.7
199212,53.9,-0.3
199312,54.8,0.6
199412,55.0,0.8
199512,55.1,0.9
199612,54.0,-0.2
199712,54.8,0.6
199812,57.4,3.2
199912,56.5,2.3
200012,54.7,0.5
200112,56.1,1.9
200212,57.2,3.0
200312,54.6,0.4
200412,55.8,1.6
200512,55.7,1.5
200612,57.3,3.1
200712,56.3,2.1
200812,56.3,2.1
200912,55.4,1.2
201012,56.7,2.5
201112,57.4,3.2
201212,58.5,4.3
201312,55.8,1.6
201412,54.7,0.5
201512,56.4,2.2
201612,57.4,3.2
201712,57.6,3.4
201812,57.0,2.8
