Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,46.1,0.0
198112,47.3,1.2
198212,45.5,-0.6
198312,46.7,0.6
198412,45.3,-0.8
198512,43.9,-2.2
198612,47.3,1.2
198712,48.2,2.1
198812,47.3,1.2
198912,46.6,0.5
199012,47.3,1.2
199112,47.1,1.0
199212,48.6,2.5
199312,45.6,-0.5
199412,47.9,1.8
199512,47.5,1.4
199612,45.6,-0.5
199712,47.1,1.0
199812,48.6,2.5
199912,46.9,0.8
200012,46.2,0.1
200112,46.9,0.8
200212,46.9,0.8
200312,48.2,2.1
200412,48.4,2.3
200512,47.3,1.2
200612,47.5,1.4
200712,46.8,0.7
200812,45.8,-0.3
200912,46.4,0.3
201012,47.1,1.0
201112,45.5,-0.6
201212,47.1,1.0
201312,47.2,1.1
201412,48.4,2.3
201512,50.0,3.9
201612,48.6,2.5
201712,46.8,0.7
201812,48.0,1.9
