South Carolina, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,61.9,-0.5
198112,61.2,-1.2
198212,62.7,0.3
198312,61.3,-1.1
198412,62.4,0.0
198512,63.0,0.6
198612,64.1,1.7
198712,62.3,-0.1
198812,61.2,-1.2
198912,62.2,-0.2
199012,65.0,2.6
199112,63.8,1.4
199212,61.9,-0.5
199312,62.6,0.2
199412,62.8,0.4
199512,62.5,0.1
199612,61.8,-0.6
199712,62.2,-0.2
199812,64.7,2.3
199912,63.4,1.0
200012,62.2,-0.2
200112,63.3,0.9
200212,63.7,1.3
200312,62.4,0.0
200412,63.2,0.8
200512,63.1,0.7
200612,63.6,1.2
200712,64.3,1.9
200812,62.9,0.5
200912,62.7,0.3
201012,62.6,0.2
201112,64.1,1.7
201212,64.5,2.1
201312,62.3,-0.1
201412,62.2,-0.2
201512,64.5,2.1
201612,64.9,2.5
201712,65.1,2.7
201812,64.2,1.8
