North Carolina, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,57.9,-0.6
198112,57.2,-1.3
198212,58.6,0.1
198312,57.8,-0.7
198412,58.6,0.1
198512,59.2,0.7
198612,59.8,1.3
198712,58.5,0.0
198812,57.3,-1.2
198912,58.2,-0.3
199012,61.1,2.6
199112,60.2,1.7
199212,58.2,-0.3
199312,58.7,0.2
199412,59.0,0.5
199512,58.4,-0.1
199612,57.8,-0.7
199712,58.1,-0.4
199812,60.8,2.3
199912,59.7,1.2
200012,58.4,-0.1
200112,59.4,0.9
200212,60.0,1.5
200312,58.7,0.2
200412,59.3,0.8
200512,59.4,0.9
200612,59.8,1.3
200712,60.5,2.0
200812,59.3,0.8
200912,58.9,0.4
201012,59.0,0.5
201112,60.4,1.9
201212,60.7,2.2
201312,58.6,0.1
201412,58.4,-0.1
201512,60.5,2.0
201612,60.8,2.3
201712,61.0,2.5
201812,60.4,1.9
